event_id,case_id,occurred_at,event_type,active_minutes,detail
E001,C001,2026-08-24T09:00+05:30,intake,5,Coordinator recorded the case
E002,C001,2026-08-24T10:00+05:30,request_sent,,Requested fault photo
E003,C001,2026-08-24T16:00+05:30,customer_reply,0,Fault photo received
E004,C001,2026-08-24T19:00+05:30,review,5,Checked supplied information
E005,C001,2026-08-25T11:00+05:30,quote_sent,3,Sent repair quote
E006,C001,2026-08-25T13:00+05:30,scheduled,3,Visit booked after approval
E007,C001,2026-08-26T09:00+05:30,completed,1,Coordinator closed the case
E008,C002,2026-08-24T11:00+05:30,intake,6,Coordinator recorded the case
E009,C002,2026-08-24T12:00+05:30,request_sent,4,Requested fault photo
E010,C002,2026-08-24T18:00+05:30,customer_reply,0,Fault photo received
E011,C002,2026-08-24T21:00+05:30,review,6,Checked supplied information
E012,C002,2026-08-25T13:00+05:30,quote_sent,3,Sent repair quote
E013,C002,2026-08-25T15:00+05:30,scheduled,3,Visit booked after approval
E014,C002,2026-08-26T11:00+05:30,completed,1,Coordinator closed the case
E015,C003,2026-08-25T09:00+05:30,intake,7,Coordinator recorded the case
E016,C003,2026-08-25T10:00+05:30,request_sent,2,Requested fault photo
E017,C003,2026-08-25T16:00+05:30,customer_reply,0,Fault photo received
E018,C003,2026-08-25T19:00+05:30,review,4,Checked supplied information
E019,C003,2026-08-26T11:00+05:30,quote_sent,3,Sent repair quote
E020,C003,2026-08-26T13:00+05:30,scheduled,3,Visit booked after approval
E021,C003,2026-08-27T09:00+05:30,completed,1,Coordinator closed the case
E022,C004,2026-08-25T11:00+05:30,intake,8,Coordinator recorded the case
E023,C004,2026-08-25T12:00+05:30,request_sent,3,Requested fault photo
E024,C004,2026-08-25T18:00+05:30,customer_reply,0,Fault photo received
E025,C004,2026-08-25T21:00+05:30,review,5,Checked supplied information
E026,C004,2026-08-26T13:00+05:30,quote_sent,3,Sent repair quote
E027,C004,2026-08-26T15:00+05:30,scheduled,3,Visit booked after approval
E028,C004,2026-08-27T11:00+05:30,completed,1,Coordinator closed the case
E029,C005,2026-08-26T09:00+05:30,intake,4,Coordinator recorded the case
E030,C005,2026-08-26T10:00+05:30,request_sent,4,Requested fault photo
E031,C005,2026-08-27T11:00+05:30,quote_sent,3,Indicative quote sent using information from call
E032,C005,2026-08-28T09:00+05:30,cancelled,1,Customer chose replacement
E033,C006,2026-08-26T11:00+05:30,intake,5,Coordinator recorded the case
E034,C006,2026-08-26T12:00+05:30,request_sent,2,Requested fault photo
E035,C006,2026-08-26T18:00+05:30,customer_reply,,Fault photo received
E036,C006,2026-08-26T21:00+05:30,review,4,Checked supplied information
E037,C006,2026-08-27T13:00+05:30,quote_sent,3,Sent repair quote
E038,C006,2026-08-27T15:00+05:30,scheduled,3,Visit booked after approval
E039,C006,2026-08-28T11:00+05:30,completed,1,Coordinator closed the case
E040,C007,2026-08-27T09:00+05:30,intake,6,Coordinator recorded the case
E041,C007,2026-08-27T10:00+05:30,request_sent,3,Requested fault photo
E042,C007,2026-08-27T16:00+05:30,customer_reply,0,Fault photo received
E043,C007,2026-08-27T19:00+05:30,review,5,Checked supplied information
E044,C007,2026-08-28T11:00+05:30,quote_sent,3,Sent repair quote
E045,C007,2026-08-28T13:00+05:30,scheduled,3,Visit booked after approval
